Table 13,,,,,,,,,,,,,,,,,
,,Boulder,0,0,0,1,0,0,1,0,0,"100,257",,,,,
,,Canon City,0,0,2,0,0,0,0,1,1,"16,727",,,,,
,,Centennial,3,0,0,0,0,1,1,1,0,"104,022",,,,,
,,Colorado Springs,8,8,1,1,0,0,5,7,6,"432,287",,,,,
,,Craig,2,1,1,1,0,0,0,5,0,"9,357",,,,,
,,Denver,21,6,12,6,0,11,8,13,13,"628,545",,,,,
,,Durango,2,0,0,0,0,0,1,1,0,"17,305",,,,,
,,Englewood,2,0,0,0,0,0,1,1,0,"31,358",,, ,,
,,Fort Collins,2,0,0,0,0,0,0,1,1,"148,792",,,,,
,,Fountain,4,0,0,0,0,0,0,3,1,"26,841",,,,,
,,Frisco,0,0,0,1,0,0,1,0,0,"2,717",,,,,
,,Glendale,2,0,0,1,0,0,0,1,2,"4,493",,,,,
,,Glenwood Springs,2,1,0,0,0,0,0,1,2,"9,727",,,,,
,,Grand Junction,0,0,3,1,0,1,0,3,0,"59,516",,,,,
,,Greeley,4,1,0,1,0,3,1,2,0,"96,276",,,,,
,,Hotchkiss,0,1,0,0,0,,1,0,0,942,,,,,
,,Johnstown,1,0,0,0,0,0,0,1,0,"10,259",,,,,
,,Lafayette,2,5,0,1,0,0,1,3,4,"25,209",,,,,
,,La Junta,0,0,0,1,0,0,0,1,0,"7,187",,,,,
,,Lakewood,1,0,1,0,0,0,0,0,2,"146,404",,,,,
,,Littleton,2,0,0,0,0,2,0,0,0,"43,229",,,,,
,,Lone Tree,2,2,0,3,0,1,3,2,1,"88,925",,,,,
,,Longmont,3,1,1,2,0,4,3,0,0,"69,147",,,,,
,,Meeker,0,0,0,1,0,0,0,1,0,"2,554",,,,,
,,Monument,0,0,1,1,0,0,2,0,0,"5,744",,,,,
,,Parker,1,0,0,0,0,0,1,0,0,"47,004",,,,,
,,Pueblo,1,0,0,2,0,2,1,0,0,"109,065",,,,,
,,Sheridan,0,0,0,1,0,0,0,1,0,"5,871",,,,,
,,Steamboat Springs,1,0,0,0,0,0,1,0,0,"12,116",,,,,
,,Sterling,0,0,0,2,0,2,0,0,0,"14,929",,,,,
,,Telluride,0,0,0,1,0,0,1,0,0,"2,401",,,,,
,,Westminster,1,0,0,0,0,0,0,0,1,"109,461",,,,,
,,Wheat Ridge3,2,0,1,0,0,1,1,1,0,"30,886",,,,,
,,Windsor,1,0,0,1,0,0,1,1,0,"19,330",,,,,
,Universities and Colleges,,3,0,2,0,0,,,,,,,,,,
,,Auraria Higher Education Center4,1,0,0,0,0,0,0,0,1,,,,,,
,,"Colorado State University, Fort Collins",1,0,2,0,0,0,1,1,1,"30,467",,,,,
,,University of Northern Colorado,1,0,0,0,0,0,0,1,0,"13,038",,,,,
,Metropolitan Counties,,7,7,4,5,0,,,,,,,,,,
,,Adams,1,0,0,2,0,0,1,1,1,,,,,,
,,Arapahoe,2,3,1,0,0,2,0,4,0,,,,,,
,,Jefferson,1,3,1,1,0,3,0,2,1,,,,,,
,,Larimer,2,1,2,1,0,3,0,1,2,,,,,,
,,Mesa,1,0,0,1,0,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,3,1,3,1,0,,,,,,,,,,
,,Bent,0,0,1,0,0,0,0,1,0,,,,,,
,,Chaffee,0,1,1,0,0,1,1,0,0,,,,,,
,,Kit Carson,0,0,0,1,0,0,0,1,0,,,,,,
,,Montrose,2,0,0,0,0,0,1,1,0,,,,,,
,,Summit,1,0,1,0,0,1,0,1,0,,,,,,
Connecticut,Total,,65,20,37,25,2,,,,,,,,,,
,Cities,,62,19,32,22,2,,,,,,,,,,
,,Berlin,0,1,0,0,0,0,1,0,0,"19,935",,,,,
,,Bloomfield,0,0,0,1,0,0,0,1,0,"20,557",,,,,
,,Bridgeport,2,0,3,1,0,0,2,1,3,"146,030",,,,,
,,Bristol,1,0,0,0,0,0,1,0,0,"60,688",,,,,
,,Canton,0,1,0,0,0,0,0,1,0,"10,328",,,,,
,,Coventry,0,1,1,0,0,1,1,0,0,"12,451",,,,,
,,Derby,1,0,0,0,0,0,0,0,1,"12,917",,,,,
,,Enfield,3,1,0,0,0,1,0,1,2,"44,806",,,,,
,,Glastonbury,1,0,0,0,0,0,0,1,0,"34,547",,,,,
,,Groton,0,1,0,0,0,0,0,1,0,"10,397",,,,,
,,Groton Town,0,2,1,0,0,2,0,1,0,"29,231",,,,,
,,Hamden,0,0,0,1,0,0,0,1,0,"61,032",,,,,
,,Hartford,0,0,3,1,0,2,1,1,0,"125,203",,,,,
,,Manchester,10,2,3,1,0,6,4,3,3,"58,444",,,,,
,,Middletown,2,1,0,1,1,1,2,2,0,"47,878",,,,,
,,Milford,2,0,0,0,0,0,1,,1,"52,817",,,,,
,,Naugatuck,1,0,0,0,0,0,0,0,1,"31,896",,,,,
,,New Britain,0,0,1,0,0,0,0,1,0,"73,458",,,,,
,,New Canaan,1,0,0,0,0,0,1,0,0,"19,992",,,,,
,,New Haven,6,0,3,3,0,5,1,4,2,"129,934",,,,,
,,Newington,1,0,0,0,0,0,1,0,0,"30,668",,,,,
,,New London,3,0,2,1,0,2,0,3,1,"27,643",,,,,
,,New Milford,0,0,0,1,0,0,1,0,0,"28,047",,,,,
,,Newtown,0,0,1,0,0,1,0,0,0,"27,904",,,,,
,,Norwalk,2,0,0,0,0,0,1,0,1,"86,693",,,,,
,,Norwich,2,1,2,0,0,3,2,0,0,"40,517",,,,,
,,Old Saybrook,2,0,0,0,0,0,0,1,1,"10,293",,,,,
,,Orange,1,0,0,0,0,1,0,0,0,"13,971",,,,,
,,Seymour,2,0,2,0,0,1,1,1,1,"16,558",,,,,
,,Shelton,1,0,0,0,0,0,1,0,0,"40,062",,,,,
,,Simsbury,1,0,0,0,0,0,1,0,0,"23,591",,,,,
,,Southington,2,0,0,4,0,1,2,1,2,"43,219",,,,,
,,Stamford,1,0,2,2,1,1,1,2,2,"124,201",,,,,
,,Stonington,1,0,2,0,0,0,0,2,1,"18,556",,,,,
,,Stratford,2,1,0,0,0,2,1,0,0,"52,041",,,,,
,,Torrington,3,3,1,1,0,1,1,3,3,"36,264",,,,,
,,Wallingford,2,1,3,1,0,2,1,4,0,"45,183",,,,,
,,Waterbury,2,1,1,2,0,3,0,3,0,"110,486",,,,,
,,West Hartford,0,1,1,1,0,1,0,1,1,"63,487",,,,,
,,West Haven,2,0,0,0,0,1,1,0,0,"55,626",,,,,
,,Windsor,1,0,0,0,0,0,0,0,1,"29,145",,,,,
,,Windsor Locks,1,0,0,0,0,0,1,0,0,"12,541",,,,,
,,Wolcott,0,1,0,0,0,0,1,0,0,"16,697",,,,,
,Universities and Colleges,,1,1,4,1,0,,,,,,,,,,
,,Central Connecticut State University,0,0,1,0,0,1,0,0,0,"12,521",,,,,
,,"University of Connecticut, Storrs, Avery Point, and Hartford4",1,0,0,1,0,0,0,2,0,,,,,,
,,Western Connecticut State University,0,1,3,0,0,3,1,0,0,"6,407",,,,,
,State Police Agencies,,2,0,0,2,0,,,,,,,,,,
,,Connecticut State Police,2,0,0,2,0,2,1,0,1,,,,,,
,Other Agencies,,0,0,1,0,0,,,,,,,,,,
,,Metropolitan Transportation Authority,0,0,1,0,0,0,0,1,0,,,,,,
Delaware,Total,,5,1,2,2,0,,,,,,,,,,
,Cities,,2,0,1,1,0,,,,,,,,,,
,,Milton,1,0,0,0,0,0,0,1,0,"2,650",,,,,
,,Wilmington,1,0,1,1,0,0,2,1,0,"72,088",,,,,
,Metropolitan Counties,,2,0,0,1,0,,,,,,,,,,
,,New Castle County Police Department,2,0,0,1,0,0,1,0,2,,,,,,
,State Police Agencies,,1,1,1,0,0,,,,,,,,,,
,,State Police:,,,,,,,,,,,,,,,
,,New Castle County,0,1,0,0,0,1,0,0,0,,,,,,
,,Sussex County,1,0,1,0,0,1,0,1,0,,,,,,
District of Columbia,Total,,13,6,47,5,1,,,,,,,,,,
,Cities,,13,6,46,5,1,,,,,,,,,,
,,Washington,13,6,46,5,1,19,19,19,14,"632,323",,,,,
,Other Agencies,,0,0,1,0,0,,,,,,,,,,
,,Metro Transit Police,0,0,1,0,0,0,0,1,0,,,,,,
Florida,Total,,77,16,42,8,1,,,,,,,,,,
,Cities,,43,13,25,4,1,,,,,,,,,,
,,Apopka,1,0,0,0,0,1,0,0,0,"43,046",,,,,
,,Aventura,1,0,0,0,0,0,1,0,0,"37,110",,,,,
,,Bartow,0,0,1,0,0,0,0,1,0,"17,740",,,,,
,,Cape Coral,1,0,0,0,0,0,0,0,1,"159,625",,,,,
,,Casselberry,1,0,0,0,0,0,1,0,0,"26,747",,,,,
,,Clermont,1,0,0,0,0,1,0,0,0,"29,523",,,,,
,,Coral Gables,1,1,0,0,0,0,1,1,0,"48,435",,,,,
,,Deland,0,0,1,0,0,0,1,0,0,"27,410",,,,,
,,Fort Lauderdale,0,0,1,0,0,0,0,1,0,"170,827",,,,,
,,Fort Myers,1,0,0,0,0,1,0,0,0,"64,379",,,,,
,,Gainesville,4,0,1,0,0,1,0,3,1,"127,036",,,,,
,,Green Cove Springs,1,0,0,0,0,1,0,0,0,"7,053",,,,,
,,Homestead,2,1,0,0,0,1,1,1,0,"62,785",,,,,
,,Jacksonville,2,1,1,0,0,2,1,0,1,"840,660",,,,,
,,Jupiter,2,0,1,0,0,0,3,0,0,"56,674",,,,,
,,Key West,0,0,4,0,0,2,1,1,0,"25,249",,,,,
,,Lake Clarke Shores,0,1,0,0,0,1,0,0,0,"3,462",,,,,
,,Lakeland,1,0,0,0,0,1,0,0,0,"99,934",,,,,
,,Largo,1,0,1,0,0,0,0,0,2,"78,783",,,,,
,,Leesburg,0,0,1,0,0,0,0,0,1,"20,668",,,,,
,,Melbourne,4,2,3,0,0,3,5,1,0,"77,133",,,,,
,,Miami Gardens,0,0,1,1,0,0,0,1,1,"111,177",,,,,
,,Miramar,2,0,0,1,0,2,1,0,0,"125,998",,,,,
,,New Smyrna Beach,1,0,0,0,0,0,0,0,1,"22,788",,,,,
,,North Port,1,3,0,0,0,1,0,2,1,"58,568",,,,,
,,Oakland Park,1,0,0,0,0,0,1,0,0,"42,701",,,,,
,,Ocoee,1,0,0,0,0,0,0,0,1,"36,816",,,,,
,,Orange Park,1,0,0,0,0,1,0,0,0,"8,592",,,,,
,,Orlando,1,0,1,1,0,1,2,0,0,"246,513",,,,,
,,Ormond Beach,1,0,0,0,0,1,0,0,0,"38,674",,,,,
,,Oviedo,1,0,0,0,0,1,0,0,0,"33,985",,,,,
,,Palm Bay,0,0,0,0,1,1,0,0,0,"104,635",,,,,
,,Pensacola,3,0,1,0,0,1,2,1,0,"52,909",,,,,
,,Pinellas Park,1,0,0,0,0,0,0,0,1,"49,821",,,,,
,,Pompano Beach,2,0,1,0,0,0,0,3,0,"103,003",,,,,
,,Port St. Lucie,0,1,1,0,0,1,0,0,1,"168,416",,,,,
,,Sanford,1,0,0,0,0,0,0,0,1,"54,662",,,,,
,,Stuart,0,2,0,0,0,1,1,0,0,"15,932",,,,,
,,Tallahassee,1,0,0,0,0,0,1,0,0,"185,461",,,,,
,,Temple Terrace,0,0,0,1,0,0,0,0,1,"25,659",,,,,
,,Village of Pinecrest,1,0,0,0,0,1,0,0,0,"18,912",,,,,
,,Wellington,0,1,0,0,0,0,0,0,1,"57,943",,,,,
,,Wilton Manors,0,0,2,0,0,0,1,1,0,"12,005",,,,,
,,Winter Garden,0,0,3,0,0,0,0,0,3,"35,768",,,,,
,Universities and Colleges,,6,0,4,1,0,,,,,,,,,,
,,New College of Florida,0,0,0,1,0,0,0,0,1,845,,,,,
,,University of Central Florida,1,0,0,0,0,0,1,0,0,"58,465",,,,,
,,University of Florida,3,0,1,0,0,0,0,3,1,"49,589",,,,,
,,"University of South Florida, Tampa",0,0,2,0,0,0,0,2,0,"39,596",,,,,
,,University of West Florida,2,0,1,0,0,0,2,1,0,"11,982",,,,,
,Metropolitan Counties,,27,3,13,3,0,,,,,,,,,,
,,Alachua,1,0,2,0,0,0,1,1,1,,,,,,
,,Baker,1,0,0,0,0,1,0,0,0,,,,,,
,,Brevard,1,0,0,0,0,0,0,1,0,,,,,,
,,Clay,1,0,0,1,0,1,0,0,1,,,,,,
,,Collier,1,0,1,0,0,0,0,2,0,,,,,,
,,Escambia,1,0,0,0,0,0,0,0,1,,,,,,
,,Flagler,1,0,0,0,0,0,1,0,0,,,,,,
,,Hillsborough,0,1,1,0,0,1,0,0,1,,,,,,
,,Lake,2,0,1,0,0,0,2,0,1,,,,,,
,,Marion,1,0,0,0,0,1,0,0,0,,,,,,
,,Okaloosa,1,0,0,0,0,0,0,1,0,,,,,,
,,Orange,9,1,5,1,0,0,3,5,8,,,,,,
,,Osceola,1,0,1,1,0,1,0,1,1,,,,,,
,,Palm Beach,0,1,0,0,0,0,0,0,1,,,,,,
,,Pasco,1,0,0,0,0,0,0,0,1,,,,,,
,,Pinellas,0,0,1,0,0,0,1,0,0,,,,,,
,,Seminole,1,0,1,0,0,0,1,0,1,,,,,,
,,St. Johns,2,0,0,0,0,0,0,1,1,,,,,,
,,Volusia,2,0,0,0,0,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,,,,,,
,,Putnam,1,0,0,0,0,0,0,0,1,,,,,,
Georgia,Total,,16,2,2,1,0,,,,,,,,,,
,Cities,,1,1,0,0,0,,,,,,,,,,
,,Columbus,1,1,0,0,0,2,,,,"196,178",,,,,
,Universities and Colleges,,5,0,0,0,0,,,,,,,,,,
,,Berry College,1,0,0,0,0,1,0,0,,"2,093",,,,,
,,University of Georgia,4,0,0,0,0,0,1,3,,"34,816",,,,,
,Metropolitan Counties,,10,1,2,1,0,,,,,,,,,,
,,Cobb County Police Department,6,1,1,1,0,0,3,6,,,,,,,
,,Henry County Police Department,4,0,1,0,0,5,0,0,,,,,,,
Idaho,Total,,11,5,10,9,0,,,,,,,,,,
,Cities,,10,5,9,9,0,,,,,,,,,,
,,Bellevue,0,0,1,0,0,1,0,0,0,"2,283",,,,,
,,Boise,8,2,5,3,0,6,4,5,3,"211,569",,,,,
,,Coeur d'Alene,1,0,0,4,0,1,4,0,0,"45,267",,,,,
,,Garden City,0,1,0,0,0,0,1,0,0,"11,293",,,,,
,,Grangeville,0,1,0,0,0,0,1,0,0,"3,198",,,,,
,,Jerome,0,0,2,0,0,0,0,0,2,"11,115",,,,,
,,Meridian,0,1,0,0,0,0,0,1,0,"77,270",,,,,
,,Nampa,1,0,1,1,0,0,1,0,2,"83,316",,,,,
,,Twin Falls,0,0,0,1,0,0,0,0,1,"44,866",,,,,
,Metropolitan Counties,,1,0,1,0,0,,,,,,,,,,
,,Kootenai,1,0,1,0,0,0,1,1,0,,,,,,
Illinois,Total,,48,6,19,11,0,,,,,,,,,,
,Cities,,38,6,18,9,0,,,,,,,,,,
,,Algonquin,1,0,0,0,0,0,1,0,0,"30,159",,,,,
,,Altamont,1,0,0,0,0,1,0,0,0,"2,323",,,,,
,,Aurora,0,1,0,0,0,0,1,0,0,"199,765",,,,,
,,Beardstown,1,0,0,0,0,1,0,0,0,"6,099",,,,,
,,Bellwood,1,0,0,0,0,0,0,0,1,"19,165",,,,,
,,Bloomington,1,0,0,0,0,0,0,0,1,"77,107",,,,,
,,Canton,1,0,0,0,0,1,0,0,0,"14,673",,,,,
,,Carpentersville,1,0,0,0,0,0,1,0,0,"38,080",,,,,
,,Centralia,1,0,0,0,0,0,0,1,,"13,027",,,,,
,,Chicago,3,1,8,2,0,3,3,4,4,"2,708,382",,,,,
,,Crest Hill,1,0,0,0,0,0,1,0,0,"20,953",,,,,
,,Crystal Lake,1,0,0,1,0,0,1,0,1,"40,785",,,,,
,,Danville,0,0,1,0,0,1,0,0,0,"32,997",,,,,
,,Decatur,1,0,0,0,0,0,1,0,0,"76,131",,,,,
,,De Kalb,1,0,0,0,0,0,1,0,0,"43,722",,,,,
,,Des Plaines,1,0,0,0,0,0,0,1,0,"58,644",,,,,
,,Downers Grove,0,0,1,0,0,0,0,1,0,"48,185",,,,,
,,Evanston,0,0,0,1,0,0,1,0,0,"74,820",,,,,
,,Fairbury,1,0,0,0,0,0,0,1,0,"3,751",,,,,
,,Joliet,1,0,0,0,0,0,0,1,0,"148,471",,,,,
,,La Grange,1,1,0,0,0,2,0,0,0,"15,624",,,,,
,,Monmouth,0,0,1,0,0,1,0,0,0,"9,504",,,,,
,,Normal,0,0,2,0,0,0,2,0,0,"52,797",,,,,
,,North Riverside,0,0,1,0,0,0,0,1,0,"6,702",,,,,
,,Oak Forest,1,0,0,0,0,0,1,0,0,"28,097",,,,,
,,Olney,0,0,1,0,0,0,0,1,0,"9,125",,,,,
,,Peoria,1,0,0,0,0,0,0,0,1,"115,288",,,,,
,,Plainfield,0,0,1,0,0,0,0,1,0,"39,859",,,,,
,,Quincy,1,0,1,0,0,0,1,1,0,"40,684",,,,,
,,Rockford,5,0,0,1,0,1,3,2,0,"152,293",,,,,
,,Rolling Meadows,0,0,1,0,0,0,0,1,0,"24,216",,,,,
,,Skokie,1,2,0,0,0,0,2,0,1,"65,096",,,,,
,,Springfield,7,0,0,1,0,1,2,3,2,"117,131",,,,,
,,Summit,0,0,0,1,0,0,0,1,0,"11,109",,,,,
,,Tinley Park,1,0,0,0,0,0,0,1,0,"56,992",,,,,
,,Urbana,1,0,0,0,0,1,0,0,0,"41,537",,,,,
,,West Frankfort,1,0,0,0,0,1,0,0,0,"8,196",,,,,
,,Wheeling,0,1,0,0,0,0,1,0,0,"37,830",,,,,
,,Winnetka,0,0,0,1,0,0,0,1,0,"12,247",,,,,
,,Wood River,0,0,0,1,0,0,0,1,0,"10,630",,,,,
,Universities and Colleges,,3,0,0,0,0,,,,,,,,,,
,,"Black Hawk College, Kewannee4",1,0,0,0,0,0,0,1,0,,,,,,
,,Western Illinois University,2,0,0,0,0,1,1,0,0,"12,554",,,,,
,Metropolitan Counties,,6,0,1,2,0,,,,,,,,,,
,,Alexander,1,0,0,0,0,0,1,0,0,,,,,,
,,Du Page,1,0,0,1,0,0,0,2,0,,,,,,
,,Madison,0,0,1,0,0,0,1,0,0,,,,,,
,,Peoria,2,0,0,1,0,1,0,1,1,,,,,,
,,Sangamon,1,0,0,0,0,1,0,0,0,,,,,,
,,Will,1,0,0,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,,,,,,,,,,
,,La Salle,1,0,0,0,0,0,0,1,0,,,,,,
Indiana,Total,,23,5,7,2,0,,,,,,,,,,
,Cities,,9,1,6,1,0,,,,,,,,,,
,,Bloomington,7,0,6,0,0,1,2,6,4,"81,636",,,,,
,,Franklin,1,0,0,0,0,1,,0,,"24,115",,,,,
,,Hammond,0,0,0,1,0,0,,1,0,"81,010",,,,,
,,Mishawaka,1,0,0,0,0,,,1,,"48,363",,,,,
,,Seymour,0,1,0,0,0,0,0,1,0,"18,340",,,,,
,Universities and Colleges,,14,4,1,0,0,,,,,,,,,,
,,"Indiana University, Southeast",8,0,0,0,0,0,7,1,0,"7,256",,,,,
,,Purdue University,6,4,1,0,0,4,1,4,2,"40,849",,,,,
,Metropolitan Counties,,0,0,0,1,0,,,,,,,,,,
,,Elkhart,0,0,0,1,0,0,1,0,0,,,,,,
Iowa,Total,,4,2,2,0,0,,,,,,,,,,
,Cities,,2,1,1,0,0,,,,,,,,,,
,,Bettendorf,0,1,0,0,0,0,1,0,0,"33,729",,,,,
,,Council Bluffs,1,0,1,0,0,1,0,1,0,"62,708",,,,,
,,Dubuque,1,0,0,0,0,1,0,0,0,"58,460",,,,,
,Universities and Colleges,,2,1,1,0,0,,,,,,,,,,
,,University of Iowa,2,1,1,0,0,4,0,0,0,"29,810",,,,,
Kansas,Total,,52,7,7,11,4,,,,,,,,,,
,Cities,,45,6,7,11,3,,,,,,,,,,
,,Basehor,1,0,0,0,0,1,0,0,0,"4,716",,,,,
,,Beloit,1,0,0,0,0,1,0,0,0,"3,808",,,,,
,,Columbus,1,0,0,0,0,1,0,0,0,"3,295",,,,,
,,Concordia,1,0,0,0,0,0,1,0,0,"5,329",,,,,
,,Derby,2,0,0,0,0,1,0,1,0,"22,393",,,,,
,,Dodge City,0,0,0,1,0,0,0,1,0,"28,064",,,,,
,,Emporia,0,0,0,0,1,0,1,0,0,"25,099",,,,,
,,Eudora,0,0,0,0,1,0,1,0,0,"6,249",,,,,
,,Fort Scott,1,0,0,0,0,0,0,0,1,"8,031",,,,,
,,Hays,1,0,0,0,0,1,0,0,0,"20,823",,,,,
,,Haysville,1,0,0,0,0,1,0,0,0,"10,939",,,,,
,,Hesston,1,0,0,0,0,0,1,0,0,"3,744",,,,,
,,Hutchinson,1,0,0,0,0,1,0,0,0,"42,357",,,,,
,,Independence,3,0,0,0,0,1,1,1,0,"9,380",,,,,
,,Lawrence,8,2,2,2,1,5,3,4,3,"89,180",,,,,
,,Leavenworth,1,0,0,0,0,0,0,1,0,"35,857",,,,,
,,Liberal,1,0,0,0,0,0,1,0,0,"20,968",,,,,
,,Lindsborg,1,0,0,0,0,1,0,0,0,"3,483",,,,,
,,Merriam,0,0,0,1,0,0,1,0,0,"11,237",,,,,
,,Newton,0,0,1,0,0,0,0,1,0,"19,328",,,,,
,,Parsons,1,0,0,0,0,0,0,1,0,"10,507",,,,,
,,Pittsburg,1,0,0,0,0,0,1,0,0,"20,380",,,,,
,,Pratt,1,0,0,0,0,0,1,0,0,"6,885",,,,,
,,Salina,4,0,0,0,0,0,0,1,3,"48,155",,,,,
,,Shawnee,3,0,0,0,0,1,1,1,0,"63,542",,,,,
,,Wichita,10,4,4,7,0,11,8,4,2,"386,409",,,,,
,Universities and Colleges,,4,1,0,0,0,,,,,,,,,,
,,Pittsburg State University,1,0,0,0,0,0,0,1,0,"7,275",,,,,
,,University of Kansas:,,,,,,,,,,,,,,,
,,Main Campus,2,0,0,0,0,1,0,1,0,"27,939",,,,,
,,Medical Center4,1,0,0,0,0,0,0,1,0,,,,,,
,,Washburn University,0,1,0,0,0,0,0,0,1,"7,303",,,,,
,Metropolitan Counties,,3,0,0,0,0,,,,,,,,,,
,,Leavenworth,1,0,0,0,0,0,1,0,0,,,,,,
,,Miami,1,0,0,0,0,0,1,0,0,,,,,,
,,Riley County Police Department,1,0,0,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,0,0,0,0,1,,,,,,,,,,
,,Rush,0,0,0,0,1,0,0,1,0,,,,,,
Kentucky,Total,,123,13,27,22,9,,,,,,,,,,
,Cities,,96,9,18,16,7,,,,,,,,,,
