Table 13,,,,,,,,,,,,,,,,,
,,Zebulon,1,0,0,0,0,1,0,0,0,"4,619",,,,,
,Universities and Colleges,,2,0,1,0,0,,,,,,,,,,
,,North Carolina School of the Arts,1,0,1,0,0,2,0,0,0,893,,,,,
,,"North Carolina State University, Raleigh",1,0,0,0,0,1,0,0,0,"34,767",,,,,
,Metropolitan Counties,,17,2,5,3,0,,,,,,,,,,
,,Buncombe,3,1,0,1,0,4,1,0,0,,,,,,
,,Cabarrus,0,1,0,0,0,1,0,0,0,,,,,,
,,Caldwell,3,0,0,0,0,1,0,1,1,,,,,,
,,Forsyth,0,0,1,0,0,0,1,0,0,,,,,,
,,Franklin,1,0,3,2,0,0,3,0,3,,,,,,
,,Gaston County Police Department,1,0,0,0,0,0,0,0,1,,,,,,
,,Haywood,1,0,0,0,0,0,1,0,0,,,,,,
,,Lincoln,1,0,0,0,0,0,0,1,0,,,,,,
,,New Hanover,3,0,1,0,0,2,0,1,1,,,,,,
,,Pitt,2,0,0,0,0,0,0,1,1,,,,,,
,,Rockingham,2,0,0,0,0,0,1,1,0,,,,,,
,Nonmetropolitan Counties,,1,1,1,0,0,,,,,,,,,,
,,Harnett,1,0,0,0,0,0,0,0,1,,,,,,
,,Rutherford,0,1,1,0,0,1,0,0,1,,,,,,
North Dakota,Total,,21,1,9,10,0,,,,,,,,,,
,Cities,,17,1,7,9,0,,,,,,,,,,
,,Beulah,1,0,0,0,0,0,0,1,0,"3,202",,,,,
,,Bismarck,5,0,1,3,0,3,0,4,2,"64,103",,,,,
,,Devils Lake,1,0,0,0,0,1,0,0,0,"7,305",,,,,
,,Fargo3,6,0,3,6,0,5,4,4,2,"109,813",,,,,
,,Lisbon,0,1,0,0,0,0,0,1,0,"2,182",,,,,
,,Mandan,1,0,0,0,0,1,0,0,0,"18,932",,,,,
,,Watford City,0,0,1,0,0,1,0,0,0,"1,967",,,,,
,,West Fargo,3,0,2,0,0,0,2,2,1,"26,894",,,,,
,Metropolitan Counties,,2,0,0,0,0,,,,,,,,,,
,,Morton,2,0,0,0,0,0,0,1,1,,,,,,
,Nonmetropolitan Counties,,2,0,2,1,0,,,,,,,,,,
,,Sargent,0,0,0,1,0,0,1,0,0,,,,,,
,,Slope,1,0,0,0,0,0,0,0,1,,,,,,
,,Steele,0,0,1,0,0,0,0,0,1,,,,,,
,,Walsh,0,0,1,0,0,1,0,0,0,,,,,,
,,Williams,1,0,0,0,0,0,1,0,0,,,,,,
Ohio,Total,,129,27,63,29,9,,,,,,,,,,
,Cities,,108,25,55,26,2,,,,,,,,,,
,,Akron,5,0,0,2,0,0,2,4,1,"198,390",,,,,
,,Athens,0,0,1,0,0,1,0,0,0,"23,834",,,,,
,,Austintown,4,1,0,2,0,0,0,4,3,"36,478",,,,,
,,"Bath Township, Summit County",0,0,1,0,0,0,1,0,0,"9,667",,,,,
,,Beavercreek,1,0,0,0,0,1,0,0,0,"45,563",,,,,
,,Bexley,1,0,1,0,0,0,1,1,0,"13,220",,,,,
,,Blue Ash,0,0,0,1,0,0,0,1,0,"12,082",,,,,
,,Boardman,0,0,1,0,0,1,0,0,0,"40,608",,,,,
,,Bowling Green,3,0,0,0,0,0,0,1,2,"30,219",,,,,
,,Canfield,1,0,0,0,0,0,1,0,0,"7,464",,,,,
,,Cardington,1,0,0,0,0,0,0,0,1,"2,047",,,,,
,,Centerville,4,8,0,0,0,6,3,3,,"24,107",,,,,
,,Cincinnati,5,1,5,0,0,1,4,6,0,"296,204",,,,,
,,Circleville,1,0,0,0,0,1,0,0,0,"13,388",,,,,
,,Clearcreek Township,0,0,0,1,0,1,0,0,0,"14,224",,,,,
,,Cleveland,5,1,3,0,0,0,4,2,3,"393,781",,,,,
,,Columbus,19,4,14,7,0,8,13,16,7,"797,384",,,,,
,,Commercial Point,0,0,1,0,0,1,0,0,0,"1,590",,,,,
,,Dayton,1,0,0,0,0,1,0,0,0,"142,139",,,,,
,,Defiance,2,0,2,0,0,1,2,1,0,"16,621",,,,,
,,Delaware,2,0,0,0,0,0,1,1,0,"35,539",,,,,
,,East Liverpool,0,0,2,0,0,2,0,0,0,"11,198",,,,,
,,Eaton,1,0,0,1,0,0,2,0,0,"8,369",,,,,
,,Englewood,0,0,1,0,0,0,0,0,1,"13,526",,,,,
,,Gahanna,1,0,0,0,0,1,0,0,0,"33,692",,,,,
,,Genoa Township,0,1,0,0,0,0,0,1,0,"23,643",,,,,
,,Girard,0,0,0,1,0,0,1,0,0,"9,906",,,,,
,,Greenhills,2,0,0,0,0,0,1,1,0,"3,605",,,,,
,,Grove City,0,1,1,0,0,0,0,0,2,"36,050",,,,,
,,Groveport,0,0,1,0,0,0,1,0,0,"5,435",,,,,
,,Hamilton,1,0,0,0,0,0,1,0,0,"62,791",,,,,
,,"Hamilton Township, Warren County",1,0,0,0,0,1,0,0,0,"21,033",,,,,
,,Heath,0,0,1,1,0,1,0,1,0,"10,356",,,,,
,,Highland Heights,0,1,0,0,0,1,,0,0,"8,279",,,,,
,,Hubbard,1,0,0,0,0,0,1,0,0,"7,834",,,,,
,,"Jackson Township, Stark County",1,0,0,1,0,0,2,0,0,"40,317",,,,,
,,Lakewood,0,0,1,0,0,0,0,1,0,"51,721",,,,,
,,Liberty Township,1,0,0,0,0,0,0,0,1,"12,002",,,,,
,,Lorain,6,1,1,1,1,2,1,2,5,"64,148",,,,,
,,Mansfield,2,0,1,1,0,0,3,0,1,"47,480",,,,,
,,Marietta,0,0,1,0,0,0,0,0,1,"14,079",,,,,
,,Marion,1,0,0,0,0,0,0,0,1,"36,687",,,,,
,,Mason,0,1,1,0,0,1,1,0,0,"31,037",,,,,
,,Massillon,0,0,2,0,0,0,1,1,0,"32,104",,,,,
,,McArthur,1,0,0,0,0,0,0,1,0,"1,691",,,,,
,,Miamisburg,0,0,1,0,0,0,1,0,0,"20,273",,,,,
,,Monroe,1,0,0,0,0,0,0,1,0,"14,837",,,,,
,,Montpelier,0,0,0,1,0,0,1,0,0,"4,067",,,,,
,,Moraine3,1,0,1,1,0,0,1,1,0,"6,336",,,,,
,,Mount Vernon,5,0,1,0,0,2,1,2,1,"17,086",,,,,
,,New Albany,0,1,0,0,0,0,1,0,0,"7,834",,,,,
,,North Canton,0,2,0,0,0,0,0,1,1,"17,464",,,,,
,,Norton,1,0,0,0,0,0,1,0,0,"12,039",,,,,
,,Norwalk,0,0,1,0,0,1,0,0,0,"16,976",,,,,
,,Oregon,0,0,0,1,0,0,1,0,0,"20,205",,,,,
,,"Perry Township, Stark County",2,0,0,0,0,1,0,1,0,"28,262",,,,,
,,Port Clinton,0,0,0,1,0,0,0,1,0,"6,050",,,,,
,,Portsmouth,2,0,2,0,0,1,0,2,1,"20,170",,,,,
,,Powhatan Point,1,0,0,0,0,0,1,0,0,"1,586",,,,,
,,Salem,0,0,1,0,1,0,1,1,0,"12,269",,,,,
,,Salineville,1,0,0,0,0,0,1,0,0,"1,307",,,,,
,,Springboro,0,0,0,1,0,0,1,0,0,"17,587",,,,,
,,Springfield,3,0,2,0,0,1,,3,1,"60,329",,,,,
,,"Springfield Township, Hamilton County",1,0,0,0,0,0,0,0,1,"36,225",,,,,
,,Stow,1,0,0,0,0,0,0,1,0,"34,709",,,,,
,,Toronto,1,0,0,0,0,0,1,0,0,"5,024",,,,,
,,Trotwood,2,0,2,0,0,2,1,0,1,"24,540",,,,,
,,Urbana,0,0,0,1,0,0,0,1,0,"11,706",,,,,
,,Van Wert,1,0,0,1,0,0,1,0,1,"10,792",,,,,
,,Wadsworth,1,0,0,0,0,1,0,0,0,"21,682",,,,,
,,Warren,4,0,0,0,0,1,0,1,2,"41,355",,,,,
,,West Chester Township,0,0,1,0,0,0,1,0,0,"58,897",,,,,
,,Whitehall,1,0,0,0,0,0,0,1,0,"18,305",,,,,
,,Wooster,1,0,0,0,0,0,0,0,1,"26,137",,,,,
,,Worthington,0,2,0,0,0,1,0,1,0,"13,754",,,,,
,,Xenia,1,0,0,0,0,0,1,0,0,"25,923",,,,,
,,Youngstown,2,0,0,0,0,0,1,1,0,"66,567",,,,,
,,Zanesville,1,0,1,0,0,0,1,1,0,"25,529",,,,,
,Universities and Colleges,,2,0,2,0,0,,,,,,,,,,
,,Capital University,1,0,0,0,0,0,0,1,0,"3,550",,,,,
,,Miami University,0,0,1,0,0,,0,0,1,"17,395",,,,,
,,"Ohio State University, Columbus",1,0,0,0,0,0,1,0,0,"56,867",,,,,
,,University of Toledo,0,0,1,0,0,1,0,0,0,"22,610",,,,,
,Metropolitan Counties,,16,2,3,3,1,,,,,,,,,,
,,Butler,1,1,1,0,1,0,1,2,1,,,,,,
,,Delaware,0,0,0,1,0,1,0,0,0,,,,,,
,,Franklin,1,0,0,0,0,0,1,0,0,,,,,,
,,Fulton,1,1,0,0,0,0,1,0,1,,,,,,
,,Greene,3,0,1,0,0,0,1,2,1,,,,,,
,,Lucas,0,0,0,1,0,0,0,1,0,,,,,,
,,Mahoning,1,0,0,0,0,1,,,,,,,,,
,,Miami,1,0,0,0,0,0,0,0,1,,,,,,
,,Montgomery,4,0,0,0,0,2,1,1,0,,,,,,
,,Morrow,1,0,0,0,0,0,0,0,1,,,,,,
,,Richland,1,0,1,0,0,0,1,0,1,,,,,,
,,Stark,1,0,0,1,0,0,0,0,2,,,,,,
,,Summit,1,0,0,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,3,0,3,0,6,,,,,,,,,,
,,Ashtabula,1,0,0,0,1,1,1,0,0,,,,,,
,,Athens,0,0,1,0,1,0,1,1,0,,,,,,
,,Defiance,0,0,1,0,0,1,0,0,0,,,,,,
,,Henry,1,0,0,0,0,0,0,1,0,,,,,,
,,Marion,0,0,0,0,2,0,1,1,0,,,,,,
,,Monroe,1,0,0,0,0,0,0,0,1,,,,,,
,,Seneca,0,0,0,0,2,0,0,1,1,,,,,,
,,Washington,0,0,1,0,0,1,0,0,0,,,,,,
,Other Agencies,,1,0,0,0,0,,,,,,,,,,
,,Cleveland Metropolitan Park District,1,0,0,0,0,0,0,1,0,,,,,,
Oklahoma,Total,,13,2,2,3,1,,,,,,,,,,
,Cities,,8,1,0,3,1,,,,,,,,,,
,,Bristow,1,0,0,0,0,,1,0,0,"4,279",,,,,
,,Eufaula,0,0,0,0,1,0,1,0,0,"2,845",,,,,
,,Guthrie,1,0,0,0,0,1,0,0,0,"10,409",,,,,
,,Hartshorne,1,0,0,0,0,1,0,0,0,"2,128",,,,,
,,Hominy,0,1,0,0,0,0,1,0,0,"3,585",,,,,
,,Luther,1,0,0,0,0,1,0,0,0,"1,252",,,,,
,,Mangum,1,0,0,0,0,0,1,0,0,"2,963",,,,,
,,Miami,1,0,0,0,0,,,1,0,"13,660",,,,,
,,Pauls Valley,1,0,0,0,0,0,0,1,0,"6,198",,,,,
,,Purcell,0,0,0,1,0,0,1,0,0,"6,043",,,,,
,,Sallisaw,1,0,0,0,0,0,0,1,0,"8,929",,,,,
,,Sapulpa,0,0,0,1,0,1,0,0,0,"20,818",,,,,
,,Verdigris,0,0,0,1,0,0,1,0,0,"4,055",,,,,
,Metropolitan Counties,,0,1,1,0,0,,,,,,,,,,
,,Tulsa,0,1,1,0,0,1,1,0,0,,,,,,
,Nonmetropolitan Counties,,5,0,1,0,0,,,,,,,,,,
,,Ellis,1,0,0,0,0,0,1,0,0,,,,,,
,,Garfield,0,0,1,0,0,,1,0,0,,,,,,
,,Latimer,2,0,0,0,0,0,0,2,0,,,,,,
,,Woodward,2,0,0,0,0,0,1,0,1,,,,,,
Oregon,Total,,18,10,9,10,5,,,,,,,,,,
,Cities,,17,9,8,6,4,,,,,,,,,,
,,Ashland,1,0,0,0,0,0,1,0,0,"20,376",,,,,
,,Beaverton,2,0,0,1,1,3,,1,,"92,276",,,,,
,,Bend,0,1,1,2,2,2,2,1,1,"78,458",,,,,
,,Boardman,1,0,0,0,0,1,0,0,0,"3,241",,,,,
,,Corvallis,0,1,0,0,0,0,1,0,0,"55,062",,,,,
,,Keizer,0,1,0,0,0,0,1,0,0,"37,160",,,,,
,,Lebanon,0,1,0,0,0,1,0,0,0,"15,823",,,,,
,,Lincoln City,0,1,0,0,0,0,1,0,0,"7,969",,,,,
,,Newport,1,1,1,0,0,1,0,0,2,"10,039",,,,,
,,Pendleton,0,0,1,0,0,0,1,0,0,"16,903",,,,,
,,Portland,3,1,2,0,1,4,2,1,,"598,037",,,,,
,,Roseburg,0,1,0,0,0,0,1,0,0,"21,305",,,,,
,,Salem,2,0,1,1,0,1,1,1,1,"157,353",,,,,
,,Springfield,5,1,0,0,0,1,2,2,1,"60,119",,,,,
,,Stayton,1,0,0,0,0,0,1,0,0,"7,788",,,,,
,,Sutherlin,0,0,1,0,0,0,0,0,1,"7,852",,,,,
,,Tigard,0,0,1,1,0,1,,1,,"49,359",,,,,
,,Tillamook,0,0,0,1,0,0,0,1,0,"5,037",,,,,
,,Toledo,1,0,0,0,0,1,0,0,0,"3,483",,,,,
,Metropolitan Counties,,0,0,1,2,1,,,,,,,,,,
,,Benton,0,0,0,2,1,1,1,0,1,,,,,,
,,Deschutes,0,0,1,0,0,0,1,0,0,,,,,,
,Nonmetropolitan Counties,,1,1,0,2,0,,,,,,,,,,
,,Douglas,1,1,0,0,0,0,1,0,1,,,,,,
,,Lincoln,0,0,0,1,0,0,1,0,0,,,,,,
,,Umatilla,0,0,0,1,0,0,0,0,1,,,,,,
Pennsylvania,Total,,26,7,4,1,0,,,,,,,,,,
,Cities,,22,5,4,1,0,,,,,,,,,,
,,"Abington Township, Montgomery County",2,0,0,0,0,2,0,0,0,"55,731",,,,,
,,Avoca,2,0,0,0,0,0,0,1,1,"2,663",,,,,
,,Carlisle,1,0,0,0,0,1,0,0,0,"19,103",,,,,
,,Harrisburg,0,0,1,0,0,0,0,1,0,"49,753",,,,,
,,Lancaster,1,2,0,0,0,1,1,0,1,"60,155",,,,,
,,Philadelphia,8,1,2,0,0,8,1,0,2,"1,538,957",,,,,
,,Pittsburgh,2,0,0,1,0,2,,,1,"312,112",,,,,
,,Reading,3,0,0,0,0,1,2,0,0,"88,557",,,,,
,,Roseto,0,1,0,0,0,1,0,0,0,"1,574",,,,,
,,Ross Township,1,0,0,0,0,1,0,0,0,"31,222",,,,,
,,Selinsgrove,0,1,0,0,0,0,0,1,0,"5,781",,,,,
,,State College,1,0,0,0,0,1,0,0,0,"57,020",,,,,
,,Throop,0,0,1,0,0,0,0,1,0,"4,089",,,,,
,,Tunkhannock,1,0,0,0,0,1,0,0,0,"1,839",,,,,
,Universities and Colleges,,2,0,0,0,0,,,,,,,,,,
,,Moravian College,1,0,0,0,0,1,0,0,0,"2,002",,,,,
,,Shippensburg University,1,0,0,0,0,0,0,1,0,"8,183",,,,,
,State Police Agencies,,2,2,0,0,0,,,,,,,,,,
,,State Police:,,,,,,,,,,,,,,,
,,Chester County,1,0,0,0,0,0,1,0,0,,,,,,
,,Erie County,1,0,0,0,0,0,0,1,0,,,,,,
,,Lehigh County,0,1,0,0,0,0,0,0,1,,,,,,
,,Wayne County,0,1,0,0,0,0,0,1,0,,,,,,
Rhode Island,Total,,4,2,5,1,0,,,,,,,,,,
,Cities,,4,2,5,1,0,, ,,,,,,,,
,,Barrington,1,0,0,0,0,0,0,1,0,"16,268",,,,,
,,Newport,1,0,0,0,0,0,0,0,1,"24,595",,,,,
,,Pawtucket,0,0,2,1,0,1,2,0,0,"71,085",,,,,
,,Providence,2,1,1,0,0,1,2,1,0,"177,882",,,,,
,,South Kingstown,0,0,1,0,0,0,0,0,1,"30,524",,,,,
,,Warwick,0,1,0,0,0,0,1,0,0,"82,282",,,,,
,,West Warwick,0,0,1,0,0,1,0,0,0,"29,053",,,,,
South Carolina,Total,,69,41,26,8,4,,,,,,,,,,
,Cities,,39,19,19,3,0,,,,,,,,,,
,,Anderson,7,0,0,0,0,0,0,7,0,"27,127",,,,,
,,Atlantic Beach,1,0,0,0,0,0,1,0,,346,,,,,
,,Beaufort,0,0,1,0,0,1,0,0,0,"12,653",,,,,
,,Bennettsville,0,0,1,0,0,0,1,0,0,"9,034",,,,,
,,Blacksburg,1,0,0,0,0,0,0,1,0,"1,873",,,,,
,,Bluffton,1,0,0,0,0,1,0,0,0,"12,855",,,,,
,,Camden,0,0,1,0,0,0,1,0,0,"6,968",,,,,
,,Charleston,1,0,0,0,0,0,0,1,0,"123,856",,,,,
,,Cheraw,0,1,0,0,0,1,0,0,0,"5,885",,,,,
,,Clinton,0,0,1,0,0,0,0,1,0,"8,570",,,,,
,,Clover,1,0,0,0,0,0,1,0,0,"5,245",,,,,
,,Columbia,2,2,1,0,0,2,2,0,1,"131,833",,,,,
,,Darlington,1,0,1,0,0,1,0,0,1,"6,313",,,,,
,,Elgin,1,0,0,0,0,0,1,0,0,"1,336",,,,,
,,Florence,1,0,0,0,0,0,0,1,0,"37,681",,,,,
,,Folly Beach,1,0,0,0,0,0,1,0,0,"2,700",,,,,
,,Forest Acres,1,1,0,0,0,0,0,1,1,"10,596",,,,,
,,Fort Mill,0,1,0,0,0,0,0,0,1,"11,132",,,,,
,,Goose Creek,0,0,0,1,0,0,1,0,0,"37,387",,,,,
,,Holly Hill,1,0,0,0,0,1,0,0,0,"1,280",,,,,
,,Irmo,0,0,1,0,0,0,0,0,1,"11,390",,,,,
,,Kingstree,1,0,0,0,0,0,0,0,1,"3,325",,,,,
,,Lamar,0,1,0,0,0,0,1,0,0,988,,,,,
,,Latta,0,0,1,0,0,0,0,1,0,"1,378",,,,,
,,Lexington,1,0,0,0,0,0,1,0,0,"18,352",,,,,
,,Moncks Corner,2,0,0,0,0,2,0,0,0,"8,229",,,,,
,,Mount Pleasant,0,0,2,0,0,0,0,1,1,"70,016",,,,,
,,Mullins,1,0,0,1,0,2,0,0,0,"4,680",,,,,
,,Myrtle Beach,0,0,1,0,0,0,0,0,1,"28,085",,,,,
,,Pageland,1,0,0,0,0,0,1,0,0,"2,733",,,,,
,,Rock Hill,2,0,1,0,0,1,1,0,1,"68,064",,,,,
,,Seneca,1,0,0,0,0,1,0,0,0,"8,194",,,,,
,,Simpsonville,1,0,2,0,0,1,0,2,0,"18,829",,,,,
,,Spartanburg,0,0,1,0,0,0,0,1,0,"37,689",,,,,
,,Summerville,3,0,0,0,0,0,1,2,0,"45,209",,,,,
,,Tega Cay,0,0,1,0,0,0,1,0,0,"7,847",,,,,
,,Walterboro,0,5,3,1,0,3,1,4,1,"5,411",,,,,
,,Ware Shoals,3,0,0,0,0,2,0,1,0,"2,189",,,,,
,,West Columbia,1,0,0,0,0,1,0,0,0,"15,610",,,,,
,,Williamston,1,0,0,0,0,1,0,0,0,"4,002",,,,,
,,Winnsboro,0,8,0,0,0,2,1,3,2,"3,527",,,,,
,,York,1,0,0,0,0,0,0,1,0,"7,963",,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,,,,,,
,,The Citadel,1,0,0,0,0,0,0,1,0,"3,390",,,,,
,,"University of South Carolina, Upstate",0,0,1,0,0,1,0,0,0,"5,493",,,,,
,Metropolitan Counties,,11,4,6,5,3,,,,,,,,,,
,,Anderson,0,1,0,1,0,0,1,1,0,,,,,,
,,Berkeley,0,0,0,1,1,0,1,0,1,,,,,,
,,Fairfield,0,0,0,1,0,0,1,0,0,,,,,,
,,Greenville,0,0,1,1,0,1,0,0,1,,,,,,
,,Horry County Police Department,1,1,1,0,0,0,1,1,1,,,,,,
,,Lancaster,1,0,1,0,0,2,0,0,0,,,,,,
,,Lexington,2,0,0,0,1,2,1,0,0,,,,,,
,,Pickens,3,0,0,0,0,1,1,0,1,,,,,,
,,Richland,1,0,1,0,1,0,1,2,0,,,,,,
,,Saluda,0,0,0,1,0,0,1,0,0,,,,,,
,,Spartanburg,2,2,1,0,0,2,3,0,0,,,,,,
,,Sumter,1,0,1,0,0,1,0,1,0,,,,,,
,Nonmetropolitan Counties,,15,18,0,0,1,,,,,,,,,,
,,Abbeville,2,15,0,0,0,1,7,6,3,,,,,,
,,Clarendon,2,0,0,0,0,2,0,0,0,,,,,,
,,Colleton,2,2,0,0,0,2,0,0,2,,,,,,
,,Georgetown,1,1,0,0,0,0,1,0,1,,,,,,
,,Greenwood,1,0,0,0,0,0,0,0,1,,,,,,
,,Hampton,3,0,0,0,0,2,1,0,0,,,,,,
,,Lee,2,0,0,0,1,0,1,1,1,,,,,,
,,Marion,1,0,0,0,0,0,0,0,1,,,,,,
,,Marlboro,1,0,0,0,0,0,0,0,1,,,,,,
,State Police Agencies,,2,0,0,0,0,,,,,,,,,,
,,Highway Patrol:,,,,,,,,,,,,,,,
,,Florence County,1,0,0,0,0,1,0,0,0,,,,,,
,,Greenwood County,1,0,0,0,0,1,0,0,0,,,,,,
,Other Agencies,,1,0,0,0,0,,,,,,,,,,
,,Lexington County Medical Center,1,0,0,0,0,0,0,0,1,,,,,,
South Dakota,Total,,20,4,3,2,0,,,,,,,,,,
,Cities,,19,4,3,2,0,,,,,,,,,,
,,Martin,1,0,1,0,0,1,0,1,0,"1,086",,,,,
,,Rapid City,6,0,0,0,0,0,1,3,2,"69,979",,,,,
,,Sioux Falls,8,4,2,1,0,5,3,6,1,"158,354",,,,,
,,Sturgis,0,0,0,1,0,0,0,1,0,"6,731",,,,,
,,Tea,1,0,0,0,0,0,0,1,0,"4,021",,,,,
,,Watertown,3,0,0,0,0,0,2,1,0,"21,902",,,,,
,Metropolitan Counties,,1,0,0,0,0,,,,,,,,,,
,,Minnehaha,1,0,0,0,0,1,0,0,0,,,,,,
Tennessee,Total,,183,20,55,36,22,,,,,,,,,,
,Cities,,127,17,48,20,17,,,,,,,,,,
,,Alcoa,0,0,1,0,0,0,0,0,1,"8,587",,,,,
,,Ardmore,1,0,0,0,0,1,0,0,0,"1,219",,,,,
,,Atoka,0,0,0,1,0,0,0,0,1,"8,488",,,,,
,,Baxter,1,0,0,0,1,1,1,0,0,"1,388",,,,,
,,Bells,0,0,0,0,1,0,1,0,0,"2,452",,,,,
,,Bluff City,0,0,0,1,0,0,0,0,1,"1,753",,,,,
,,Brighton,1,0,0,0,0,0,0,0,1,"2,769",,,,,
,,Chapel Hill,0,0,0,0,1,1,0,0,0,"1,470",,,,,
,,Chattanooga,8,6,2,1,3,3,5,8,4,"171,541",,,,,
,,Clarksville,3,1,1,0,1,1,4,1,0,"137,356",,,,,
,,Cleveland,1,0,1,0,0,1,0,0,1,"42,068",,,,,
,,Columbia,0,0,1,0,0,1,0,0,0,"35,203",,,,,
,,Dyersburg,5,0,2,0,0,3,1,1,2,"17,223",,,,,
,,Elkton,1,0,0,1,0,0,0,0,2,581,,,,,
,,Franklin,1,0,0,0,0,1,0,0,0,"64,848",,,,,
,,Goodlettsville,0,2,0,0,0,0,1,0,1,"16,310",,,,,
,,Hendersonville,1,0,0,0,0,0,0,1,0,"52,781",,,,,
,,Jackson,0,0,1,0,0,0,1,0,0,"65,725",,,,,
,,Jamestown,29,0,1,0,0,5,11,5,9,"1,982",,,,,
,,Johnson City3,4,0,3,0,0,2,2,2,0,"64,342",,,,,
