Table 13,,,,,,,,,,,,,,,,,
,,Kingsport,2,0,1,0,1,2,1,1,0,"49,639",,,,,
,,Knoxville,13,1,3,6,2,3,5,13,4,"182,254",,,,,
,,La Follette,0,0,0,1,0,0,1,0,0,"7,481",,,,,
,,Lexington,1,0,0,0,0,0,0,1,0,"7,755",,,,,
,,Lebanon,0,0,1,0,0,1,0,0,0,"26,991",,,,,
,,Lenoir City,1,0,1,0,0,0,1,1,0,"8,836",,,,,
,,Lookout Mountain,0,0,1,0,0,0,0,0,1,"1,871",,,,,
,,Mason,0,0,0,1,0,0,0,1,0,"1,626",,,,,
,,Memphis,27,4,21,5,4,11,15,16,19,"657,436",,,,,
,,Milan,1,1,0,0,0,1,0,0,1,"7,955",,,,,
,,Millington,0,0,0,0,2,1,1,0,0,"10,342",,,,,
,,Morristown,0,0,0,1,0,1,0,0,0,"29,617",,,,,
,,Murfreesboro,1,0,1,0,0,0,1,0,1,"112,247",,,,,
,,Nashville,7,1,1,1,0,0,1,3,6,"620,886",,,,,
,,Pigeon Forge,0,0,1,0,0,1,0,0,0,"6,024",,,,,
,,Pikeville,9,0,0,0,0,0,0,2,7,"1,619",,,,,
,,Red Bank,1,1,0,0,0,0,1,0,1,"11,906",,,,,
,,Sevierville,1,0,0,1,0,0,0,1,1,"15,161",,,,,
,,Sharon,1,0,0,0,0,0,0,1,0,950,,,,,
,,Smyrna,1,0,0,0,0,0,1,0,0,"41,284",,,,,
,,Soddy-Daisy,0,0,1,0,0,0,0,0,1,"12,989",,,,,
,,South Carthage,0,0,1,0,0,0,0,1,0,"1,332",,,,,
,,Spring Hill,2,0,1,0,1,1,0,1,2,"29,981",,,,,
,,Union City,0,0,1,0,0,0,1,0,0,"10,978",,,,,
,,White House,2,0,0,0,0,1,0,0,1,"10,505",,,,,
,,Winchester,1,0,0,0,0,1,0,0,0,"8,272",,,,,
,Universities and Colleges,,4,0,0,1,0,,,,,,,,,,
,,Middle Tennessee State University,1,0,0,0,0,1,0,0,0,"26,442",,,,,
,,Vanderbilt University,1,0,0,0,0,1,0,0,0,"12,836",,,,,
,,University of Tennessee:,,,,,,,,,,,,,,,
,,Health Science Center4,1,0,0,0,0,0,0,0,1,,,,,,
,,Knoxville,1,0,0,1,0,0,2,0,0,"30,194",,,,,
,Metropolitan Counties,,32,0,7,7,2,,,,,,,,,,
,,Blount,4,0,0,0,0,1,1,1,1,,,,,,
,,Campbell,0,0,0,1,0,0,0,1,0,,,,,,
,,Cheatham,1,0,0,0,0,0,0,0,1,,,,,,
,,Grainger,0,0,0,1,0,0,0,1,0,,,,,,
,,Hamilton,1,0,4,0,0,2,2,1,0,,,,,,
,,Knox,2,0,0,0,0,1,0,0,1,,,,,,
,,Loudon,0,0,1,0,0,0,0,1,0,,,,,,
,,Montgomery,2,0,0,0,0,0,1,0,1,,,,,,
,,Robertson,3,0,0,0,0,0,1,1,1,,,,,,
,,Rutherford,1,0,0,0,0,0,1,0,0,,,,,,
,,Shelby,10,0,1,3,2,4,3,6,3,,,,,,
,,Sullivan,1,0,0,2,0,1,0,1,1,,,,,,
,,Sumner,1,0,0,0,0,1,0,0,0,,,,,,
,,Tipton,2,0,0,0,0,1,0,0,1,,,,,,
,,Washington,1,0,1,0,0,0,1,1,0,,,,,,
,,Williamson,1,0,0,0,0,1,0,0,0,,,,,,
,,Wilson,2,0,0,0,0,0,0,0,2,,,,,,
,Nonmetropolitan Counties,,20,1,0,5,3,,,,,,,,,,
,,Bledsoe,0,0,0,2,0,0,0,0,2,,,,,,
,,Carroll,0,0,0,0,2,0,1,1,0,,,,,,
,,Claiborne,1,0,0,0,0,1,0,0,0,,,,,,
,,Giles,2,0,0,0,0,0,2,0,0,,,,,,
,,Haywood,0,0,0,0,1,0,1,0,0,,,,,,
,,Lauderdale,0,1,0,0,0,0,0,1,0,,,,,,
,,Lawrence,1,0,0,0,0,0,1,0,0,,,,,,
,,Moore,1,0,0,0,0,1,0,0,0,,,,,,
,,Rhea,0,0,0,1,0,0,1,0,0,,,,,,
,,Scott,15,0,0,1,0,2,8,3,3,,,,,,
,,Van Buren,0,0,0,1,0,0,1,0,0,,,,,,
,Other Agencies,,0,2,0,3,0,,,,,,,,,,
,,Department of Safety,0,0,0,1,0,0,0,0,1,,,,,,
,,"Drug Task Force, 23rd Judicial District",0,2,0,2,0,2,0,0,2,,,,,,
Texas,Total,,27,4,14,7,0,,,,,,,,,,
,Cities,,25,4,13,7,0,,,,,,,,,,
,,Allen,1,0,0,0,0,0,1,0,0,"88,783",,,,,
,,Amarillo,1,0,0,0,0,1,0,0,0,"196,576",,,,,
,,Bedford,1,0,0,0,0,0,1,0,0,"48,763",,,,,
,,Denison,2,0,0,1,0,0,1,2,0,"23,125",,,,,
,,Denton,2,0,0,0,0,0,1,1,0,"118,942",,,,,
,,Forney,1,0,0,0,0,0,0,1,0,"15,174",,,,,
,,Fort Worth,10,1,3,0,0,3,4,3,4,"770,101",,,,,
,,Lancaster,1,0,0,1,0,2,0,0,0,"37,653",,,,,
,,Lewisville,0,0,2,2,0,1,1,2,0,"100,216",,,,,
,,Longview,2,0,0,0,0,1,1,0,0,"82,554",,,,,
,,McKinney,3,0,3,0,0,2,2,2,0,"138,105",,,,,
,,Pearland,1,1,0,1,0,1,1,1,0,"94,702",,,,,
,,Plano,0,1,1,2,0,0,3,0,1,"273,816",,,,,
,,Rowlett,0,0,1,0,0,0,0,0,1,"58,324",,,,,
,,San Angelo,0,1,1,0,0,0,0,0,2,"95,960",,,,,
,,Temple,0,0,1,0,0,0,0,0,1,"68,194",,,,,
,,Tyler,0,0,1,0,0,0,1,0,0,"100,040",,,,,
,Universities and Colleges,,0,0,1,0,0,,,,,,,,,,
,,"Texas A&M University, Commerce",0,0,1,0,0,0,0,0,1,"11,417",,,,,
,Metropolitan Counties,,2,0,0,0,0,,,,,,,,,,
,,Kaufman,1,0,0,0,0,0,1,0,0,,,,,,
,,Lubbock,1,0,0,0,0,0,0,0,1,,,,,,
Utah,Total,,51,26,9,13,3,,,,,,,,,,
,Cities,,31,19,6,10,0,,,,,,,,,,
,,Bountiful,5,2,1,0,0,1,2,1,4,"43,888",,,,,
,,Brigham City,1,0,0,1,0,1,0,1,0,"18,255",,,,,
,,Centerville,2,0,0,0,0,0,1,1,0,"15,807",,,,,
,,Clinton,0,0,1,0,0,0,0,1,0,"21,064",,,,,
,,Draper,3,5,2,0,0,7,0,3,0,"43,600",,,,,
,,Helper,1,0,0,0,0,0,0,0,1,"2,219",,,,,
,,Hurricane,1,0,0,1,0,1,0,0,1,"14,284",,,,,
,,Kanab,0,1,0,0,0,0,0,0,1,"4,450",,,,,
,,Kaysville,1,0,0,0,0,0,0,1,0,"28,153",,,,,
,,Logan,1,0,0,0,0,0,0,1,0,"49,672",,,,,
,,Murray,3,0,0,0,0,1,1,1,0,"48,276",,,,,
,,North Salt Lake,0,1,0,1,0,1,0,1,0,"16,831",,,,,
,,Pleasant Grove,0,0,1,0,0,0,0,1,0,"34,900",,,,,
,,Price,3,0,0,0,0,2,0,0,1,"8,799",,,,,
,,Provo,1,1,0,0,0,0,1,1,0,"116,879",,,,,
,,Salt Lake City,1,1,0,0,0,0,0,0,2,"192,465",,,,,
,,South Jordan,1,0,0,1,0,0,1,1,0,"52,071",,,,,
,,South Salt Lake,0,1,0,1,0,0,0,2,0,"24,340",,,,,
,,St. George,0,0,0,1,0,0,1,0,0,"75,780",,,,,
,,Syracuse,0,1,0,0,0,0,1,0,0,"25,090",,,,,
,,Tooele,2,1,0,0,0,1,0,0,2,"32,641",,,,,
,,Tremonton,0,0,1,2,0,0,1,1,1,"7,799",,,,,
,,West Bountiful,0,1,0,1,0,0,2,0,0,"5,429",,,,,
,,West Jordan,3,1,0,0,0,1,3,0,0,"107,103",,,,,
,,West Valley,2,2,0,0,0,0,1,2,1,"133,725",,,,,
,,Willard,0,1,0,0,0,0,0,0,1,"1,806",,,,,
,,Woods Cross,0,0,0,1,0,0,1,0,0,"10,066",,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,,,,,,
,,Utah State University,1,0,1,0,0,1,1,0,0,"26,757",,,,,
,Metropolitan Counties,,6,7,1,0,0,,,,,,,,,,
,,Davis,1,0,0,0,0,0,0,0,1,,,,,,
,,Salt Lake County Unified Police Department,4,6,1,0,0,2,4,2,3,,,,,,
,,Tooele,0,1,0,0,0,1,0,0,0,,,,,,
,,Washington,1,0,0,0,0,0,1,0,0,,,,,,
,Nonmetropolitan Counties,,0,0,1,0,1,,,,,,,,,,
,,Daggett,0,0,0,0,1,0,1,0,0,,,,,,
,,Summit,0,0,1,0,0,0,0,0,1,,,,,,
,State Police Agencies,,10,0,0,2,2,,,,,,,,,,
,,Utah Highway Patrol,10,0,0,2,2,3,6,2,3,,,,,,
,Other Agencies,,3,0,0,1,0,,,,,,,,,,
,,Utah Transit Authority,3,0,0,1,0,1,0,2,1,,,,,,
Vermont,Total,,6,2,4,0,0,,,,,,,,,,
,Cities,,6,2,4,0,0,, ,,,,,,,,
,,Burlington,4,1,0,0,0,0,1,3,1,"42,616",,,,,
,,Dover,0,0,1,0,0,1,0,0,0,"1,116",,,,,
,,Fair Haven,0,0,2,0,0,0,0,2,0,"2,716",,,,,
,,Morristown,0,0,1,0,0,0,1,0,0,"5,273",,,,,
,,South Burlington,2,0,0,0,0,0,0,0,2,"18,005",,,,,
,,Winooski,0,1,0,0,0,1,0,0,0,"7,307",,,,,
Virginia,Total,,79,24,26,5,0,,,,,,,,,,
,Cities,,32,4,13,2,0,,,,,,,,,,
,,Blacksburg,1,0,0,0,0,0,0,0,1,"43,070",,,,,
,,Blackstone,2,0,0,0,0,0,1,1,0,"3,656",,,,,
,,Chesapeake,8,1,1,0,0,4,2,3,1,"227,531",,,,,
,,Christiansburg,1,0,0,0,0,0,0,1,0,"21,262",,,,,
,,Colonial Heights,1,0,0,0,0,0,1,0,0,"17,632",,,,,
,,Emporia,1,0,0,0,0,0,1,0,0,"5,936",,,,,
,,Front Royal,3,0,0,0,0,0,1,1,1,"14,718",,,,,
,,Galax,1,0,0,0,0,0,1,0,0,"7,060",,,,,
,,Harrisonburg,1,2,0,0,0,1,0,2,0,"50,524",,,,,
,,Herndon,1,0,0,0,0,0,0,0,1,"23,966",,,,,
,,Lynchburg,1,0,1,0,0,0,0,0,2,"77,347",,,,,
,,Manassas,0,0,3,1,0,0,1,3,0,"39,733",,,,,
,,Newport News,1,1,0,0,0,1,0,1,0,"181,591",,,,,
,,Norfolk,2,0,0,0,0,1,0,1,0,"245,303",,,,,
,,Portsmouth,1,0,0,0,0,0,0,0,1,"96,739",,,,,
,,Radford,1,0,1,0,0,1,0,0,1,"16,595",,,,,
,,Richmond,1,0,4,0,0,1,1,3,0,"207,799",,,,,
,,Roanoke,2,0,3,0,0,1,3,1,0,"97,780",,,,,
,,Virginia Beach,2,0,0,0,0,2,0,0,0,"447,588",,,,,
,,Waynesboro,1,0,0,1,0,0,0,1,1,"21,546",,,,,
,Universities and Colleges,,3,1,4,0,0,,,,,,,,,,
,,George Mason University,0,0,1,0,0,0,1,0,0,"33,320",,,,,
,,Old Dominion University,2,1,1,0,0,1,1,1,1,"24,753",,,,,
,,Radford University,0,0,1,0,0,0,0,1,0,"9,370",,,,,
,,University of Virginia,0,0,1,0,0,0,0,0,1,"24,297",,,,,
,,Virginia Polytechnic Institute and State University,1,0,0,0,0,0,0,0,1,"30,936",,,,,
,Metropolitan Counties,,41,18,9,2,0,,,,,,,,,,
,,Albemarle County Police Department,7,3,1,0,0,0,5,4,2,,,,,,
,,Amherst,2,0,0,0,0,0,0,1,1,,,,,,
,,Arlington County Police Department,0,0,0,1,0,0,0,1,0,,,,,,
,,Augusta,0,0,1,0,0,0,0,1,0,,,,,,
,,Campbell,0,1,0,0,0,0,0,0,1,,,,,,
,,Chesterfield County Police Department,6,2,0,1,0,2,2,4,1,,,,,,
,,Fairfax County Police Department,6,7,4,0,0,6,7,3,1,,,,,,
,,Gloucester,1,1,0,0,0,0,0,0,2,,,,,,
,,Henrico County Police Department,3,0,1,0,0,0,2,0,2,,,,,,
,,James City County Police Department,0,0,2,0,0,1,1,0,0,,,,,,
,,Loudoun,1,2,0,0,0,0,2,1,0,,,,,,
,,New Kent,1,0,0,0,0,0,0,0,1,,,,,,
,,Prince George County Police Department,0,1,0,0,0,1,0,0,0,,,,,,
,,Roanoke County Police Department,2,0,0,0,0,2,0,0,0,,,,,,
,,Spotsylvania,3,1,0,0,0,0,0,4,0,,,,,,
,,Stafford,7,0,0,0,0,1,3,3,0,,,,,,
,,York,2,0,0,0,0,2,0,0,0,,,,,,
,Nonmetropolitan Counties,,3,1,0,1,0,,,,,,,,,,
,,Accomack,0,0,0,1,0,0,0,1,0,,,,,,
,,Essex,1,0,0,0,0,0,1,0,0,,,,,,
,,Prince Edward,2,0,0,0,0,0,0,2,0,,,,,,
,,Richmond,0,1,0,0,0,0,0,1,0,,,,,,
Washington,Total,,141,50,52,28,1,,,,,,,,,,
,Cities,,118,33,41,21,0,,,,,,,,,,
,,Aberdeen,2,0,0,0,0,1,1,0,0,"17,000",,,,,
,,Anacortes,0,1,0,0,0,0,0,0,1,"16,097",,,,,
,,Bellevue,1,1,1,0,0,1,1,1,0,"126,022",,,,,
,,Bellingham,3,2,2,2,0,2,2,5,1,"82,665",,,,,
,,Black Diamond,1,0,0,0,0,0,0,1,0,"4,279",,,,,
,,Bothell,0,1,1,0,0,0,1,1,0,"34,389",,,,,
,,Burien,3,0,1,0,0,1,2,0,1,"34,310",,,,,
,,Cheney,1,0,1,0,0,0,2,0,0,"10,747",,,,,
,,Edmonds,0,0,1,0,0,1,0,0,0,"40,609",,,,,
,,Ellensburg,1,0,0,0,0,0,1,0,0,"18,649",,,,,
,,Everett,0,1,1,0,0,0,1,1,0,"105,318",,,,,
,,Federal Way,5,0,0,0,0,2,1,1,1,"91,978",,,,,
,,Ferndale,1,0,0,0,0,0,0,1,0,"11,677",,,,,
,,Fircrest,1,0,0,0,0,0,1,0,0,"6,637",,,,,
,,Kennewick,0,0,1,0,0,1,0,0,0,"76,971",,,,,
,,Kent,1,1,0,1,0,0,1,0,2,"122,102",,,,,
,,Kirkland,4,2,1,0,0,1,3,2,1,"50,243",,,,,
,,Lake Forest Park,1,0,0,0,0,0,1,0,0,"12,975",,,,,
,,Lakewood,1,0,0,1,0,0,0,2,0,"59,416",,,,,
,,Longview,5,0,1,0,0,2,2,1,1,"37,032",,,,,
,,Lynden,0,1,0,0,0,1,0,0,0,"12,223",,,,,
,,Lynnwood,0,1,0,0,0,0,0,1,0,"36,647",,,,,
,,Mercer Island,1,0,0,1,0,0,1,0,1,"23,381",,,,,
,,Mill Creek,1,0,0,0,0,0,1,0,0,"18,661",,,,,
,,Monroe,0,1,0,0,0,0,0,0,1,"17,665",,,,,
,,Mount Vernon,0,0,0,1,0,1,0,0,0,"32,384",,,,,
,,Newcastle,0,0,0,1,0,0,0,1,0,"10,692",,,,,
,,Oak Harbor,1,0,1,0,0,1,0,0,1,"22,457",,,,,
,,Omak,2,0,0,0,0,0,1,1,0,"4,929",,,,,
,,Orting,1,0,0,0,0,0,1,0,0,"6,890",,,,,
,,Port Angeles,2,0,0,0,0,0,0,1,1,"19,342",,,,,
,,Port Townsend,0,1,0,0,0,0,0,0,1,"9,219",,,,,
,,Poulsbo,0,0,1,0,0,1,0,0,0,"9,428",,,,,
,,Pullman,1,0,0,1,0,1,1,0,0,"30,206",,,,,
,,Puyallup,0,0,1,0,0,0,0,0,1,"37,821",,,,,
,,Redmond,1,0,0,0,0,0,0,0,1,"55,770",,,,,
,,Renton,5,1,0,3,0,1,2,3,3,"93,722",,,,,
,,Seattle,47,13,19,6,0,12,24,32,17,"626,865",,,,,
,,Sequim,0,1,0,0,0,1,0,0,0,"6,710",,,,,
,,Shoreline,1,0,0,1,0,1,0,1,0,"54,574",,,,,
,,Spokane,3,0,3,0,0,3,1,1,1,"212,163",,,,,
,,Spokane Valley,2,1,1,0,0,1,1,2,0,"91,164",,,,,
,,Sumner,1,0,0,0,0,1,0,0,0,"9,656",,,,,
,,Sunnyside,0,0,1,0,0,0,1,0,0,"16,271",,,,,
,,Tacoma,9,1,2,1,0,3,4,2,4,"202,646",,,,,
,,University Place,2,0,0,0,0,0,2,0,0,"31,820",,,,,
,,Vancouver,7,2,0,2,0,2,2,4,3,"166,375",,,,,
,,Wapato,0,1,0,0,0,1,0,0,0,"5,123",,,,,
,,Yakima,0,0,1,0,0,0,1,0,0,"93,419",,,,,
,Universities and Colleges,,6,10,3,0,0,,,,,,,,,,
,,University of Washington,6,8,2,0,0,3,3,6,4,"42,444",,,,,
,,"Washington State University, Pullman",0,2,1,0,0,0,1,2,0,"27,329",,,,,
,Metropolitan Counties,,15,4,6,5,1,,,,,,,,,,
,,Benton,0,0,0,0,1,1,0,0,0,,,,,,
,,Chelan,1,1,0,1,0,0,3,0,0,,,,,,
,,Clark,3,0,0,0,0,0,0,1,2,,,,,,
,,Cowlitz,0,0,1,0,0,0,1,0,0,,,,,,
,,Douglas,1,0,0,0,0,0,1,0,0,,,,,,
,,King,3,1,1,1,0,1,4,1,0,,,,,,
,,Kitsap,0,1,0,0,0,0,0,1,0,,,,,,
,,Pend Oreille,1,0,0,0,0,0,0,0,1,,,,,,
,,Pierce,3,0,1,0,0,1,1,1,1,,,,,,
,,Snohomish,1,0,0,0,0,1,0,,,,,,,,
,,Stevens,0,0,1,0,0,0,1,0,0,,,,,,
,,Thurston,1,0,2,0,0,1,0,2,0,,,,,,
,,Walla Walla,1,0,0,0,0,0,0,0,1,,,,,,
,,Yakima,0,1,0,3,0,0,1,2,1,,,,,,
,Nonmetropolitan Counties,,2,3,1,2,0,,,,,,,,,,
,,Clallam,2,0,0,0,0,0,0,1,1,,,,,,
,,Mason,0,3,1,0,0,1,0,2,1,,,,,,
,,Pacific,0,0,0,2,0,1,0,1,0,,,,,,
,Other Agencies,,0,0,1,0,0,,,,,,,,,,
,,Port of Seattle,0,0,1,0,0,1,0,0,0,,,,,,
West Virginia,Total,,20,1,5,0,1,,,,,,,,,,
,Cities,,10,1,3,0,1,,,,,,,,,,
,,Beckley,2,0,1,0,1,2,1,0,1,"17,675",,,,,
,,Clarksburg,3,0,0,0,0,0,1,1,1,"16,649",,,,,
,,Elkins,1,0,0,0,0,1,0,0,0,"7,108",,,,,
,,Fairmont,1,0,0,0,0,0,0,0,1,"18,764",,,,,
,,Huntington,1,0,2,0,0,1,1,1,0,"49,254",,,,,
,,Martinsburg,1,0,0,0,0,0,1,0,0,"17,487",,,,,
,,Morgantown,0,1,0,0,0,1,0,0,0,"30,294",,,,,
,,Weirton,1,0,0,0,0,1,0,0,0,"19,652",,,,,
,Universities and Colleges,,2,0,0,0,0,,,,,,,,,,
,,West Liberty University,1,0,0,0,0,0,0,1,0,"2,789",,,,,
,,West Virginia Tech,1,0,0,0,0,1,0,0,0,"1,316",,,,,
,Metropolitan Counties,,6,0,2,0,0,,,,,,,,,,
,,Brooke,1,0,0,0,0,0,0,1,0, ,,,,,
,,Fayette,0,0,1,0,0,0,0,1,0,,,,,,
,,Hancock,2,0,0,0,0,1,0,0,1,,,,,,
,,Kanawha,2,0,1,0,0,1,1,1,0,,,,,,
,,Wayne,1,0,0,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,2,0,0,0,0,,,,,,,,,,
,,Nicholas,2,0,0,0,0,0,1,1,0,,,,,,
Wisconsin,Total,,32,10,13,5,8,,,,,,,,,,
,Cities,,29,9,7,4,1,,,,,,,,,,
,,Appleton,6,0,1,1,0,1,3,4,0,"73,431",,,,,
,,Caledonia,1,0,0,0,0,0,1,0,0,"24,764",,,,,
,,Fond du Lac,0,0,2,0,0,0,2,0,0,"43,319",,,,,
,,La Crosse,1,1,0,0,0,0,0,1,1,"51,851",,,,,
,,Madison,8,3,0,0,1,3,4,3,2,"237,508",,,,,
,,Milwaukee,5,4,4,1,0,4,1,2,7,"599,395",,,,,
,,Minocqua,1,0,0,0,0,0,0,0,1,"4,372",,,,,
,,Oak Creek,0,1,0,0,0,0,0,1,0,"34,715",,,,,
,,Rhinelander,0,0,0,1,0,0,1,0,0,"7,776",,,,,
,,River Falls,1,0,0,0,0,0,0,0,1,"14,927",,,,,
,,Seymour,1,0,0,0,0,0,1,0,0,"3,481",,,,,
,,Sheboygan,2,0,0,1,0,1,1,1,0,"49,261",,,,,
,,Waukesha,1,0,0,0,0,0,0,0,1,"71,049",,,,,
,,Wausau,1,0,0,0,0,1,0,0,0,"39,313",,,,,
,,West Allis,1,0,0,0,0,0,1,0,0,"60,870",,,,,
,Universities and Colleges,,1,0,5,0,0,,,,,,,,,,
,,"University of Wisconsin, Platteville",1,0,5,0,0,0,1,0,5,"8,262",,,,,
,Metropolitan Counties,,1,0,1,0,0,,,,,,,,,,
,,Dane,1,0,0,0,0,1,0,0,0,,,,,,
,,Iowa,0,0,1,0,0,0,0,0,1,,,,,,
,Nonmetropolitan Counties,,1,1,0,1,7,,,,,,,,,,
,,Burnett,1,1,0,0,1,0,1,2,0,,,,,,
,,Grant,0,0,0,1,0,0,0,0,1,,,,,,
,,Juneau,0,0,0,0,5,1,1,2,1,,,,,,
,,Lincoln,0,0,0,0,1,0,1,0,0,,,,,,
Wyoming,Total,,1,0,0,1,0,,,,,,,,,,
,Cities,,1,0,0,0,0,,,,,,,,,,
,,Rawlins,1,0,0,0,0,0,1,0,0,"9,337",,,,,
,Nonmetropolitan Counties,,0,0,0,1,0,,,,,,,,,,
,,Sublette,0,0,0,1,0,0,1,0,0,,,,,,
1 Agencies published in this table indicated that at least one hate crime incident occurred in their respective jurisdictions during the quarter(s) for which they submitted a report to the Hate Crime Statistics Program.  Blanks indicate quarters for which agencies did not submit reports.,,,,,,,,,,,,,,,,,
"2 Population figures are published only for the cities.  The figures listed for the universities and colleges are student enrollment and were provided by the United States Department of Education for the 2011 school year, the most recent available.  The enrollment figures include full-time and part-time students.",,,,,,,,,,,,,,,,,
3 Includes one incident reported with more than one bias motivation.,,,,,,,,,,,,,,,,,
4 Student enrollment figures were not available.,,,,,,,,,,,,,,,,,